Name,playerID,ZIPs,Steamer,Real,SEGRIGO,Error_ZIPs,Error_Steamer,Error_SEGRIGO
Trea Turner,turnetr01,0.846071773,0.785803909,0.778355289,0.816414414813553,0.06771648400000008,0.007448620000000017,0.038059125813553085
Juan Soto,sotoju01,0.924030042,0.960440402,0.929550072,0.9282125692326885,0.005520029999999898,0.030890330000000077,0.0013375027673114825
Alex Bregman,bregmal01,0.858690338,0.831963539,0.803774137,0.7935850477859748,0.05491620100000005,0.028189401999999975,0.010189089214025171
Carlos Correa,correca01,0.826898636,0.810834783,0.710901649,0.8125869837333042,0.11599698700000005,0.09993313400000003,0.10168533473330421
Francisco Lindor,lindofr01,0.767874124,0.753660246,0.806344208,0.7897500492919738,0.03847008399999996,0.05268396199999992,0.016594158708026163
Marcus Semien,semiema01,0.805619215,0.759480396,0.826016195,0.7554784033041385,0.02039698000000001,0.06653579900000006,0.0705377916958615
Nolan Arenado,arenano01,0.820877522,0.812117298,0.774288048,0.8068949710296535,0.04658947400000002,0.037829250000000036,0.03260692302965351
Austin Riley,rileyau01,0.872219259,0.852068864,0.861177815,0.8622580369375281,0.011041443999999956,0.009108950999999976,0.001080221937528103
Mookie Betts,bettsmo01,0.85575484,0.848793004,0.987136531,0.8704038821600681,0.13138169099999997,0.13834352699999997,0.11673264883993184
Rafael Devers,deverra01,0.887123056,0.860538292,0.850609756,0.8519298449835785,0.03651329999999997,0.009928535999999988,0.0013200889835784935
Dansby Swanson,swansda01,0.759407483,0.727688828,0.743515409,0.7555308626522769,0.015892074000000034,0.015826581000000006,0.012015453652276853
Matt Chapman,chapmma01,0.792883043,0.738183271,0.754826209,0.7653592072094884,0.03805683400000004,0.01664293799999994,0.010532998209488387
Ronald Acuna Jr.,acunaro01,0.87491614,0.857353137,1.011971942,0.8712218609595649,0.137055802,0.15461880499999991,0.14075008104043507
Freddie Freeman,freemfr01,0.882558124,0.883610928,0.976308036,0.919815461650375,0.09374991200000005,0.09269710800000008,0.05649257434962507
George Springer,springe01,0.836093962,0.816758791,0.732027317,0.8134214521408545,0.10406664499999996,0.08473147400000003,0.08139413514085447
Kyle Tucker,tuckeky01,0.844944614,0.889727694,0.886237194,0.8480823736792992,0.04129258000000002,0.003490499999999952,0.03815482032070083
Manny Machado,machama01,0.806365134,0.816963517,0.781714331,0.83497429434163,0.024650803,0.03524918600000004,0.05325996334162997
Jose Altuve,altuvjo01,0.836624278,0.808396998,0.914905148,0.8177649380290906,0.07828086999999995,0.10650815000000002,0.09714020997090944
Corey Seager,seageco01,0.816869648,0.841949458,1.012566882,0.841688981031245,0.19569723400000005,0.17061742400000002,0.170877900968755
Matt Olson,olsonma02,0.865622357,0.842264742,0.992507309,0.8261373430042372,0.12688495199999994,0.15024256699999994,0.1663699659957627
Brandon Nimmo,nimmobr01,0.789328558,0.795523201,0.828918124,0.8380200445305426,0.039589565999999965,0.03339492300000002,0.009101920530542595
Willy Adames,adamewi01,0.791365922,0.753211397,0.716620036,0.7671668040775361,0.07474588599999998,0.03659136099999993,0.05054676807753611
Bryce Harper,harpebr03,0.90006595,0.882558953,0.900004809,0.8914391080646732,6.114099999998679e-05,0.017445856000000037,0.008565700935326825
Xander Bogaerts,bogaexa01,0.775054815,0.772825553,0.789973254,0.7992748858783563,0.014918439000000006,0.01714770099999996,0.009301631878356309
Jake Cronenworth,croneja01,0.762830451,0.734015364,0.689267718,0.7374122461723079,0.07356273300000005,0.04474764600000003,0.048144528172307965
Tommy Edman,edmanto01,0.715767228,0.713824377,0.705414056,0.7312415534657739,0.010353172000000077,0.008410321000000054,0.025827497465773952
Cedric Mullins,mullice01,0.744459965,0.730410624,0.721151318,0.7661439832594686,0.023308647000000016,0.009259306000000023,0.044992665259468656
Paul Goldschmidt,goldspa01,0.84180225,0.839888987,0.809854029,0.8854667862441629,0.03194822099999994,0.030034958,0.07561275724416283
Pete Alonso,alonspe01,0.864402173,0.860954891,0.821150305,0.8274583752697039,0.04325186800000003,0.03980458600000003,0.006308070269703925
Vladimir Guerrero Jr.,guerrvl02,0.873072922,0.921125148,0.788096374,0.8586195051583373,0.08497654799999999,0.13302877400000002,0.0705231311583373
DJ LeMahieu,lemahdj01,0.739283258,0.754957451,0.717744187,0.7573767502378443,0.021539071000000076,0.037213264000000024,0.039632563237844365
Bryan Reynolds,reynobr01,0.820024682,0.808415899,0.789617813,0.7840670297638413,0.030406869000000003,0.01879808599999999,0.005550783236158652
Max Muncy,muncyma01,0.786703473,0.790097103,0.808437067,0.7794171975610046,0.021733593999999967,0.01833996399999993,0.02901986943899537
Brandon Lowe,lowebr01,0.816548649,0.780374787,0.770952473,0.8013346299013516,0.04559617599999999,0.009422313999999932,0.030382156901351598
Shohei Ohtani,ohtansh01,0.881045175,0.865123534,1.066381453,0.8813014638613033,0.18533627799999997,0.201257919,0.18507998913869672
Ty France,francty01,0.777387467,0.778560182,0.70311127,0.7977661102542615,0.0742761970000001,0.07544891200000003,0.09465484025426152
Yasmani Grandal,grandya01,0.749182607,0.743334213,0.64748495,0.7213785695383731,0.101697657,0.09584926300000007,0.07389361953837315
Trent Grisham,grishtr01,0.711945961,0.710104473,0.66635782,0.7172374433318391,0.04558814099999997,0.043746653000000024,0.05087962333183915
Ketel Marte,marteke01,0.821809777,0.772769744,0.843523049,0.7804694071794,0.02171327199999995,0.07075330499999999,0.06305364182059991
Luis Robert Jr.,roberlu01,0.78286924,0.799720492,0.857378779,0.7664759055846815,0.07450953900000001,0.057658287000000086,0.09090287341531855
Willson Contreras,contrwi01,0.767468604,0.757765444,0.825589314,0.7903364604800387,0.058120709999999964,0.06782387000000001,0.035252853519961325
Jeff McNeil,mcneije01,0.771716552,0.769912395,0.71111111,0.7617372899337858,0.060605441999999954,0.058801284999999925,0.05062617993378571
Jorge Polanco,polanjo01,0.790140988,0.767108583,0.788919351,0.766090606915382,0.0012216369999999976,0.021810768000000036,0.02282874408461799
Ryan McMahon,mcmahry01,0.767178474,0.762113963,0.752799689,0.7354397070305714,0.014378785000000005,0.009314273999999956,0.017359981969428673
Javier Baez,baezja01,0.711041439,0.704533306,0.592889463,0.7075306831877974,0.11815197600000005,0.11164384299999996,0.11464122018779743
Kyle Schwarber,schwaky01,0.847327678,0.822203001,0.816559828,0.8092837965862648,0.03076784999999993,0.005643172999999946,0.007276031413735229
Gleyber Torres,torregl01,0.761447606,0.774137997,0.799746324,0.7541525647068795,0.038298717999999954,0.025608327000000042,0.045593759293120484
Salvador Perez,perezsa02,0.809359942,0.764682936,0.714320628,0.8058198596660623,0.0950393140000001,0.05036230800000008,0.09149923166606233
Justin Turner,turneju01,0.805212794,0.764783587,0.800245055,0.7767241138414314,0.0049677390000000266,0.03546146799999994,0.02352094115856862
Anthony Santander,santaan02,0.790384463,0.759177064,0.796776339,0.7956292714243465,0.0063918760000000185,0.03759927500000004,0.0011470675756535265
Mike Yastrzemski,yastrmi01,0.769313283,0.736300569,0.775269848,0.7716124261431522,0.005956564999999969,0.03896927900000002,0.003657421856847809
Alex Verdugo,verdual01,0.793658954,0.770061574,0.745165686,0.7798524885216027,0.04849326799999998,0.024895887999999977,0.03468680252160272
Christian Walker,walkech02,0.786800102,0.788370839,0.829896906,0.7853521021222403,0.043096804000000044,0.041526066999999944,0.04454480387775972
Ian Happ,happia01,0.757061697,0.756935887,0.791381804,0.8059994301666705,0.03432010699999999,0.03444591699999999,0.014617626166670505
Yoan Moncada,moncayo01,0.742357452,0.733279602,0.730471828,0.7129654839461145,0.011885624000000039,0.002807773999999985,0.017506344053885514
Jose Abreu,abreujo02,0.801557865,0.79239408,0.679629629,0.7818455465975656,0.12192823600000002,0.11276445099999999,0.10221591759756554
Joey Gallo,gallojo01,0.755830133,0.722957196,0.740921131,0.7472783312480389,0.014909002000000005,0.017963935000000042,0.0063572002480388745
Kolten Wong,wongko01,0.717403421,0.712075896,0.519392857,0.7204684802757205,0.19801056399999994,0.19268303899999994,0.20107562327572048
Cody Bellinger,bellico01,0.714150828,0.719255077,0.881165207,0.7569778823544042,0.16701437900000005,0.16191012999999999,0.12418732464559579
Jeimer Candelario,candeje01,0.743746958,0.720809841,0.806939301,0.7156880231564287,0.06319234299999998,0.08612945999999999,0.09125127784357134
Eugenio Suarez,suareeu01,0.714175484,0.712684428,0.714070917,0.7508717651627893,0.00010456699999994434,0.0013864890000000463,0.03680084816278928
Adam Frazier,fraziad01,0.689373831,0.693157726,0.695631067,0.6712658398362751,0.006257235999999944,0.0024733409999999623,0.024365227163724912
Brandon Crawford,crawfbr01,0.722092268,0.70657564,0.587214904,0.7061853712736078,0.13487736400000006,0.11936073599999997,0.11897046727360783
